"x","y","wifi","4g"
-8.679681068732634,-8.12178533364501,1.11,32.0
-8.400530190266068,-7.879305536747908,5.11,32.1
-8.11317598658043,-7.621328663740701,1.35,32.1
-7.778287705445554,-7.420274331548971,2.67,32.1
-7.39008313103761,-7.307448905197842,3.16,32.1
-7.014057731446946,-7.3641033996480765,3.17,32.2
-6.637796658001201,-7.45058358376061,2.91,32.2
-6.299184545968032,-7.618746916479645,2.87,32.2
-6.080522011112063,-7.928846550022698,2.86,32.2
-6.071732215576661,-7.963102695162744,3.19,32.3
-6.071891354250866,-7.962882472788035,2.57,32.3
-6.070768631273234,-7.963130002189054,2.38,32.3
-6.070768631273234,-7.963130002189054,2.97,32.4
-6.070768631273234,-7.963130002189054,2.52,32.4
-6.070768631273234,-7.963130002189054,2.85,32.4
-6.067770131736625,-7.960731933178668,2.92,32.5
-5.981596343854696,-8.086120674473076,1.25,32.5
-5.946568028802208,-8.129124092652168,3.31,32.5
-4.487072428245261,-10.717429432680564,2.56,32.5
-4.369485373837104,-11.079573552658264,2.60,32.5
-4.27146029668001,-11.450043310736277,2.77,32.6
-4.1630121728709515,-11.84845711419125,3.61,32.6
-4.096300053387304,-12.227590691019858,3.32,32.6
-4.094816933458709,-12.604352037693962,12.1,32.6
-4.179044426761161,-12.985983213409511,3.74,32.6
-4.371822195709134,-13.308765267746793,4.07,32.6
-4.532106157642719,-13.460819993204883,3.28,32.7
-4.9089050499026525,-13.565552307066486,3.68,32.7
-5.22687492504706,-13.506890483813986,4.74,32.7
-5.556990757936515,-13.302704233419913,3.26,32.7
-5.950850355036284,-13.168573117082978,3.27,32.7
-6.324470927281503,-13.161970178676476,3.25,32.7
-6.336915990551584,-13.165819024534928,3.30,32.7
-6.216525372535456,-13.129673924538018,2.59,32.8
-6.297976650223207,-13.18194711091816,3.04,32.8
-6.158751205821424,-13.071966044186052,1.29,32.9
-6.129764985423021,-13.039499757466917,3.21,32.9
-6.090359213607227,-13.02350157818686,1.34,32.9
-6.02018629303533,-13.05915797818755,3.55,32.9
-5.884764125388365,-13.054370064901194,1.34,32.9
-5.753039118575009,-13.139655829870668,1.41,32.9
-5.678784745936666,-13.164778592983954,3.26,33.0
-5.6147532207858575,-13.236052966234736,1.33,33.0
-5.4679183516249985,-13.326790867302964,2.79,33.0
-5.12528978415483,-13.484682601048494,4.00,33.0
-4.757308699777047,-13.44063317209074,1.76,33.0
-4.441974773164402,-13.349163918741606,4.24,33.0
-4.029504394700723,-13.349300548761011,2.91,33.0
