(-10.558104595543488, -5.782539593548562, -159.79595174086054)	3.12	33.3
(-10.932681419215191, -5.931351875989726, -160.01647137147128)	2.84	30.6
(-11.230391286210274, -6.046118200932604, -160.05640522266225)	2.84	32.5
(-11.320547823323583, -6.086323061590404, -160.17516678189162)	2.88	25.9
(-11.681771896046527, -6.281285495444643, -160.02294939354613)	2.94	37.8
(-12.02271123877504, -6.420857395569785, -140.53799078097282)	3.09	40.7
(-12.209395322798066, -6.7170419146706095, -93.85082173607569)	3.06	47.0
(-12.163345181311128, -6.877643652687931, -60.26421634253029)	2.17	30.6
(-11.963768887197991, -7.248083882563312, -39.073406034163)	3.12	32.0
(-11.876140958011012, -7.3259212400919385, 4.6032159948711495)	3.00	38.9
(-11.833506609064385, -7.320008173071612, 3.5282921152475484)	2.64	34.5
(-11.476870515948278, -7.231320480292739, 20.55155291350025)	1.64	29.8
(-11.091493375405632, -7.155900155210036, 8.6033368657221)	3.29	45.0
(-10.623972850714555, -7.147405541866139, -13.829421328341144)	2.93	31.1
(-10.323341407869842, -7.355180838182854, -39.705125271015305)	2.97	25.5
(-10.179067666945475, -7.71643249070938, -97.29914510831357)	4.35	33.9
(-10.299510800047404, -8.06994052470186, -127.0136618664755)	3.03	34.4
(-10.545419653440828, -8.35152126689253, -134.55589168286969)	3.64	28.7
(-10.823364331866276, -8.591788212566762, -134.16307858892276)	1.30	32.2
(-10.88521588488755, -8.739472341110952, -88.49033659144301)	3.16	32.2
(-10.804122075663097, -8.940882581294886, -44.961562257039326)	3.92	31.6
(-10.698933572957776, -9.003276420732165, -5.0908649418402945)	2.87	36.8
(-10.387602720760896, -9.029535974266, 12.348033573856624)	2.60	33.0
(-10.020857838419177, -8.885344521145207, 31.121700801260285)	1.41	43.7
(-9.677064935574453, -8.71662655802629, 31.818984700808556)	2.67	35.8
(-9.356321671322746, -8.505620904953076, 30.74636209801281)	1.37	53.2
(-9.01625695124985, -8.322481160467248, 30.360897992318005)	2.93	35.6
(-8.679681068732634, -8.12178533364501, 32.415307260988776)	1.11	33.1
(-8.400530190266068, -7.879305536747908, 44.717120419639144)	5.11	36.6
(-8.11317598658043, -7.621328663740701, 36.286041800592336)	1.35	22.2
(-7.778287705445554, -7.420274331548971, 19.482217104440966)	2.67	41.4
(-7.39008313103761, -7.307448905197842, 6.705443378386378)	3.16	29.2
(-7.014057731446946, -7.3641033996480765, -13.30553594263596)	3.17	30.7
(-6.637796658001201, -7.45058358376061, -19.065775499687973)	2.91	31.9
(-6.299184545968032, -7.618746916479645, -40.801696507869764)	2.87	38.9
(-6.080522011112063, -7.928846550022698, -61.1147789604572)	2.86	43.6
(-6.071732215576661, -7.963102695162744, -61.33149944498554)	3.19	34.2
(-6.071891354250866, -7.962882472788035, -61.357316777337005)	2.57	33.5
(-6.070768631273234, -7.963130002189054, -61.36836154262966)	2.38	35.2
(-6.070768631273234, -7.963130002189054, -61.42222686822401)	2.97	32.8
(-6.070768631273234, -7.963130002189054, -61.42222686822401)	2.52	43.9
(-6.070768631273234, -7.963130002189054, -61.42222686822401)	2.85	38.4
(-6.067770131736625, -7.960731933178668, -61.21992451025121)	2.92	30.1
(-5.981596343854696, -8.086120674473076, -53.051496359850795)	1.25	31.2
(-5.946568028802208, -8.129124092652168, -51.85094805498459)	3.31	44.0
(-5.854162616439174, -8.20544941504047, -30.776617292156416)		41.2
(-4.487072428245261, -10.717429432680564, -71.04506715716974)	2.56	44.7
(-4.369485373837104, -11.079573552658264, -73.59214234440654)	2.60	37.9
(-4.27146029668001, -11.450043310736277, -74.15695768546443)	2.77	41.9
(-4.1630121728709515, -11.84845711419125, -75.7598167790859)	3.61	46.2
(-4.096300053387304, -12.227590691019858, -84.19917173547118)	3.32	41.6
(-4.094816933458709, -12.604352037693962, -95.42965926572093)	12.1	45.8
(-4.179044426761161, -12.985983213409511, -113.37723331292811)	3.74	33.8
(-4.371822195709134, -13.308765267746793, -125.53959889402648)	4.07	37.9
(-4.532106157642719, -13.460819993204883, -151.5925106892827)	3.28	30.1
(-4.9089050499026525, -13.565552307066486, -170.53712810602218)	3.68	41.7
(-5.22687492504706, -13.506890483813986, 148.19263806652714)	4.74	36.0
(-5.556990757936515, -13.302704233419913, 155.09724638637445)	3.26	55.6
(-5.950850355036284, -13.168573117082978, 178.06461814756983)	3.27	45.7
(-6.324470927281503, -13.161970178676476, -163.63021040203247)	3.25	37.4
